2MASSName,ShortName,SpT(opt),Reference1,SpT(IR),Reference2,SilicateIndex,Si_err,Inclination(deg),IncErr,Reference3
J00361617+1821104,0036+1821,L3.5,Kirk00,L4,Knap04,1.20,0.08,51,9,Vos17
J03552337+1133437b,0355+1133,L5gamma,Cruz09,L4gamma,Bard19,1.29,0.02,50,2,ThisStudy
J05012406-0010452b,0501-0010,L4gamma,Cruz09,L4gamma,Gagn15,1.35,0.08,60,10,Vos20
J11263991-5003550,1126-5003,L4.5,Burg08,L6.5p,Burg08,1.01,0.04,35,7,Vos20
J14252798-3650229b,1425-3650,L3,Reid08,L4gamma,Gagn15,1.32,0.04,54,23,Vos20
J15074769-1627386,1507-1627,L5,Kirk00,L5.5,Knap04,1.02,0.02,23,2,Vos17
J17210390+3344160,1721+3344,L3,Cruz03,L5,Burg08,1.09,0.05,27,4,Vos17
J18212815+1414010,1821+1414,L4.5,Loop08,L5p,Kirk10,1.25,0.01,61,17,Vos17
J21481633+4003594,2148+4003,L6,Loop05,L6.5p,Kirk10,1.44,0.01,88,5,Vos17
J22443167+2043433b,2244+2043,L6.5,Kirk08,L6-L8gamma,Gagn15,1.37,0.07,76,17,Vos08
