ShortName,J,Jerr,H,Herr,Ks,Kserr,W1,W1err,W2,W2err,J-Ks,W1-W2
0036+1821,12.466,0.027,11.588,0.030,11.058,0.021,10.516,0.024,10.237,0.020,1.675,0.325
0355+1133,14.050,0.024,12.530,0.031,11.526,0.021,10.528,0.023,9.943,0.021,2.153,0.473
0501-0010,14.982,0.038,13.713,0.034,12.963,0.035,12.050,0.024,11.518,0.022,2.020,0.455
1126-5003,13.997,0.032,13.284,0.036,12.829,0.029,12.218,0.024,11.942,0.022,1.745,0.345
1425-3650,13.747,0.028,12.575,0.022,11.805,0.027,10.998,0.022,10.576,0.020,1.850,0.421
1507-1627,12.830,0.027,11.895,0.024,11.312,0.026,10.667,0.023,10.378,0.022,1.750,0.350
1721+3344,13.625,0.023,12.952,0.026,12.489,0.020,11.933,0.024,11.601,0.022,1.610,0.310
1821+1414,13.431,0.024,12.396,0.019,11.650,0.021,10.845,0.029,10.478,0.021,1.745,0.345
2148+4003,14.147,0.029,12.783,0.030,11.765,0.023,10.739,0.023,10.235,0.021,1.840,0.410
2244+2043,16.476,0.140,14.999,0.066,14.022,0.073,12.777,0.024,12.108,0.024,2.290,0.564
