Name;Spt;3.6Amp;3.6AmpErr;JAmp;JAmpErr;KepAmp;Period;PeriodErr;vsini;vsiniErr;JKscolor;Inclination;inclinationErr;JKanomaly;JKanomalyErr
2M1906+40;L1;;;;;1.5;8.9;0;11.2;2.2;1.31;82;10;1.34;0.02
2M1721+33;L3;0.33;0.07;;;;2.6;0.1;;;1.14;27;4;1.60;0.02
2M2208+29;L3;0.69;0.07;;;;3.5;0.2;;;1.65;55;10;1.60;0.02
DENIS 1058*;L3;0.39;0.04;0.843;;;4.3;0.31;37.5;2.5;1.62;90;2;1.60;0.02
2M0036+18;L3.5;0.47;0.05;1.22;0.04;;2.7;0.3;35.12;0.57;1.41;51;9;1.69;0.02
2M0103+19;L4;0.47;0.05;;;;2.7;0.3;;;2.14;40;8;1.77;0.05
2M1615+49;L4;0.9;0.2;;;;24;0;;;2.47;86;7;1.77;0.05
2M1126-50;L4.5;0.21;0.04;1.2;0.1;;3.2;0.3;;;1.17;35;7;1.77;0.05
2M1821+14;L4.5;0.54;0.05;;;;4.2;0.1;28.85;0.16;1.78;61;17;1.77;0.05
2M1507-16;L5;0.57;0.04;;;;2.5;0.1;21.27;1.86;1.51;23;2;1.78;0.05
2M2148+40;L6;1.33;0.07;;;;19;4;;;2.38;88;2;1.82;0.07
W0047;L6;;;10;0;;13.2;0.14;4.3;2.2;2.55;53;3;1.82;0.07
PSO-318*;L7.5;;;10;1;;7.5;2.5;17.5;2.5;2.78;61;17;1.75;0.05
2M0107+00;L8;1.27;0.13;;;;5;0;;;2.11;56;17;1.73;0.04
SDSS0423-04;T0;;;0.8;0.08;;2;0.4;;;1.54;79;13;1.47;0.11
WISE1049B*;T0.5;;;7;0;;4.87;0.01;26.1;0.2;1.89;83;7.5;1.34;0.11
2M2139+02;T1.5;11;1;26;0;;7.618;0.178;;;1.68;90;0;1.13;0.20
SIMP 1629;T2;;;4.3;0;;7;0;;;1.25;82;11;1.05;0.12
SIMP 0136;T2.5;1.5;0.2;5;0;;2.414;0.078;;;0.90;80;12;0.95;0.12
